status,driver_id,dttm
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 12:31:25.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 12:56:32.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 13:46:14.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 14:44:13.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 15:26:11.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 16:56:40.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 18:35:09.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 19:25:44.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 19:42:21.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 19:44:14.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 20:27:44.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 21:58:11.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 22:40:00.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 23:31:49.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 00:04:56.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 01:13:57.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 02:28:57.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 03:21:25.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 03:44:51.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 04:55:37.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 06:29:06.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 07:58:29.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 09:28:35.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 09:59:45.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 10:51:12.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 10:51:32.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 12:14:05.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 13:07:53.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 13:20:22.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 14:43:52.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 14:57:20.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 15:07:00.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 16:06:47.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 16:30:30.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 16:52:49.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 17:07:11.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 17:16:27.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 18:20:07.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 18:32:05.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 19:00:08.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 19:05:48.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 19:34:22.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 20:11:36.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 21:47:16.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 22:03:41.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-20 23:41:25.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 01:17:47.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 01:31:10.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 02:06:58.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 02:20:09.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 03:17:11.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 03:47:55.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 04:04:18.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 04:49:43.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 05:27:13.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 06:09:41.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 06:50:42.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 07:04:46.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 08:41:49.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 09:04:46.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 09:59:01.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 11:05:36.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 11:24:39.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 11:40:44.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 12:30:26.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 13:06:06.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 14:05:24.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 14:16:40.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 15:46:27.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 17:04:58.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 17:15:58.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 18:51:19.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 19:20:48.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 20:20:41.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 21:25:25.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 22:45:33.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-21 23:56:17.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 00:52:53.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 01:00:29.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 01:08:24.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 01:37:27.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 02:52:07.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 03:12:17.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 03:51:41.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 05:17:26.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 05:32:17.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 06:04:57.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 06:05:12.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 06:18:30.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 06:32:05.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 06:49:34.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 07:26:09.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 08:58:16.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 09:25:39.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 10:20:53.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 10:53:41.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 11:00:48.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 11:05:09.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 11:25:07.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 11:28:31.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 12:02:26.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 12:52:27.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 13:26:59.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 14:44:41.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 15:47:16.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 16:58:53.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 17:44:56.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 18:52:14.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 20:29:29.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 21:07:34.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 22:34:12.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-22 22:49:57.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 00:21:21.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 00:33:12.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 01:52:56.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 02:21:00.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 02:30:02.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 03:05:40.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 03:24:41.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 03:33:07.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 04:14:55.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 05:03:31.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 05:55:39.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 06:06:54.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 06:07:06.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 07:03:16.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 08:30:57.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 09:24:54.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 10:39:15.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 11:28:29.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 12:17:02.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 12:50:35.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 14:27:20.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 16:05:15.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 16:46:06.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 17:44:21.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 18:17:07.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 19:27:38.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 20:29:09.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 22:00:41.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-23 23:05:30.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 00:21:35.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 01:35:25.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 02:01:53.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 02:21:24.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 02:22:10.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 03:17:11.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 03:23:18.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 03:57:11.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 05:13:29.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 06:45:21.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 08:08:28.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 09:21:58.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 10:28:54.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 11:17:39.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 11:59:11.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 12:36:17.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 13:46:53.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 15:14:42.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 16:27:27.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 16:50:43.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 18:26:34.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 19:39:48.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 20:44:58.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 21:34:09.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 21:50:20.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-24 22:50:39.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-25 00:03:01.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-18 20:02:47.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-18 21:28:13.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-18 21:56:42.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-18 22:39:34.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-18 23:20:55.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-19 00:29:24.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-19 01:18:54.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 01:47:28.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-19 03:24:48.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 04:11:25.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-19 04:47:40.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 05:07:33.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-19 06:43:09.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 08:04:35.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-19 08:36:37.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 10:08:31.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-19 11:09:06.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-19 12:36:08.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 13:12:14.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-19 13:35:37.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-19 14:28:04.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 15:15:57.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-19 15:35:46.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-19 16:04:38.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 17:12:30.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-19 18:11:01.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 18:44:47.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-19 19:56:07.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-19 20:29:10.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 20:50:56.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-19 21:09:29.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 21:38:19.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-19 22:15:52.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-19 23:03:38.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-19 23:08:54.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 00:18:38.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-20 00:42:16.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 02:22:03.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-20 03:40:08.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 04:39:11.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-20 06:00:36.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 06:50:42.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-20 07:06:24.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 08:13:45.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-20 09:46:42.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 11:22:15.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-20 12:41:08.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 14:16:45.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-20 15:23:22.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 15:44:58.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-20 17:15:41.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 18:04:41.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-20 19:43:24.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-20 20:52:04.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-20 22:14:34.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-20 23:50:13.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 01:19:27.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-21 01:29:42.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 02:06:00.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-21 03:33:40.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-21 04:18:46.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 04:27:17.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-21 04:49:34.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 04:50:46.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-21 06:07:44.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 07:12:39.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-21 07:20:38.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 08:20:02.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-21 08:54:32.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 09:14:18.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-21 09:14:32.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-21 09:51:15.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 09:54:04.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-21 10:53:03.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-21 12:21:32.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 13:51:17.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-21 15:25:32.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 16:28:30.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-21 17:30:58.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 18:30:30.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-21 19:18:03.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-21 20:33:50.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-21 21:34:07.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-21 22:53:25.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 00:19:59.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-22 00:55:38.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 02:34:47.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-22 03:24:05.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-22 03:45:39.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 05:17:27.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-22 05:56:34.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 07:16:03.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-22 08:14:49.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-22 09:25:52.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 10:23:51.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-22 10:47:59.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 11:48:20.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-22 13:17:44.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 13:33:18.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-22 15:03:31.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 16:33:59.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-22 16:56:03.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 17:23:19.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-22 18:36:51.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-22 20:16:48.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-22 21:35:09.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-22 22:36:55.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-23 00:04:44.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 01:01:03.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-23 02:19:35.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 03:17:21.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-23 04:22:27.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 05:14:59.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-23 06:33:20.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 08:08:05.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-23 09:37:38.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 10:09:22.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-23 10:24:29.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-23 11:42:25.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 12:24:44.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-23 13:44:26.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 14:37:48.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-23 15:18:01.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-23 16:55:13.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 17:40:49.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-23 18:53:27.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 19:30:52.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-23 20:17:19.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 20:54:02.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-23 22:07:50.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-23 23:03:18.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-24 00:40:05.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 02:19:38.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-24 02:38:31.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 03:51:17.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-24 04:13:25.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 05:08:06.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-24 06:22:21.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 07:02:19.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-24 07:37:35.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 08:44:37.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-24 08:59:32.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 09:10:01.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-24 10:12:15.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 11:32:26.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-24 13:09:42.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 14:03:43.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-24 14:07:47.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 15:27:34.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-24 15:42:39.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-24 16:03:02.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 16:35:23.620339
enroute,dc66190e523943f5a83bdd393587439c,2018-02-24 16:49:23.620339
ontrip,dc66190e523943f5a83bdd393587439c,2018-02-24 17:55:32.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 18:44:19.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-24 18:52:53.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 18:57:06.620339
busy,dc66190e523943f5a83bdd393587439c,2018-02-24 20:25:39.620339
free,dc66190e523943f5a83bdd393587439c,2018-02-24 21:36:30.620339
